Epoch,Accuracy,Loss,Validation Accuracy,Validation Loss
1,0.3416,2.8487,0.1837,2.1619
2,0.4062,1.3708,0.2,2.3508
3,0.4831,1.3583,0.227,2.4043
4,0.5938,1.3702,0.2667,2.0723
5,0.5105,1.3358,0.3048,4.6711
6,0.5,1.2277,0.4,4.3292
7,0.5158,1.311,0.1926,25.6936
8,0.5312,1.7635,0.1333,184.0488
9,0.416,1.5584,0.2851,3.3463
10,0.3438,1.5075,0.3333,3.476
11,0.518,1.2734,0.3718,1.7317
12,0.375,1.4061,0.2667,1.6671
13,0.4786,1.432,0.3329,2.2059
14,0.5,1.129,0.2,2.0074
15,0.5446,1.207,0.4241,1.8453
16,0.5938,1.0296,0.4,2.4374
17,0.555,1.1433,0.4222,1.8685
18,0.5,1.211,0.3333,2.2501
19,0.555,1.0686,0.4349,1.724
20,0.5938,0.8555,0.4667,2.3937
21,0.5961,1.0283,0.4994,1.4242
22,0.5938,0.8777,0.6667,0.8397
23,0.6118,1.0397,0.4356,2.4017
24,0.5625,0.9325,0.4,2.1008
25,0.5837,1.0386,0.5045,2.4371
26,0.75,0.9164,0.3333,2.2934
27,0.6256,0.9483,0.588,1.0483
28,0.6562,0.8596,0.6,1.1846
29,0.6422,0.8878,0.3055,2.9739
30,0.5938,0.9609,0.4,2.6269
31,0.6415,0.9313,0.5478,1.6337
32,0.5,1.1087,0.5333,1.4098
33,0.6511,0.872,0.4745,1.9197
34,0.6562,0.7626,0.6667,1.7235
35,0.6689,0.8633,0.1869,113.5112
36,0.5938,1.0189,0.3333,37.4795
37,0.6217,1.1086,0.4758,1.5179
38,0.6562,0.8726,0.2667,2.1378
39,0.6725,0.9233,0.5702,1.1392
40,0.6875,0.8772,0.7333,0.8886
